Domain,Area Code,Area,Element,Item Code,Item,Year Code,Unit,Value,Flag Description
Fertilizers,2,Afghanistan,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,11.71,Calculated data
Fertilizers,2,Afghanistan,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,0.19,Calculated data
Fertilizers,3,Albania,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,46.15,Calculated data
Fertilizers,3,Albania,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,32.9,Calculated data
Fertilizers,3,Albania,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.76,Calculated data
Fertilizers,4,Algeria,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,11.83,Calculated data
Fertilizers,4,Algeria,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,5.61,Calculated data
Fertilizers,4,Algeria,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,3.16,Calculated data
Fertilizers,7,Angola,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,4.91,Calculated data
Fertilizers,7,Angola,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,1.01,Calculated data
Fertilizers,7,Angola,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,1.68,Calculated data
Fertilizers,8,Antigua and Barbuda,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,1.6,Calculated data
Fertilizers,8,Antigua and Barbuda,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2,Calculated data
Fertilizers,8,Antigua and Barbuda,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.4,Calculated data
Fertilizers,9,Argentina,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,14.52,Calculated data
Fertilizers,9,Argentina,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,11.62,Calculated data
Fertilizers,9,Argentina,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.81,Calculated data
Fertilizers,1,Armenia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,43.94,Calculated data
Fertilizers,1,Armenia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,1.77,Calculated data
Fertilizers,1,Armenia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,1.22,Calculated data
Fertilizers,10,Australia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,28.04,Calculated data
Fertilizers,10,Australia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,19.98,Calculated data
Fertilizers,10,Australia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,5.16,Calculated data
Fertilizers,11,Austria,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,78.95,Calculated data
Fertilizers,11,Austria,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,28.4,Calculated data
Fertilizers,11,Austria,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,25.7,Calculated data
Fertilizers,52,Azerbaijan,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,17.45,Calculated data
Fertilizers,52,Azerbaijan,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2.08,Calculated data
Fertilizers,52,Azerbaijan,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,2.07,Calculated data
Fertilizers,12,Bahamas,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,55.17,Calculated data
Fertilizers,12,Bahamas,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,33.58,Calculated data
Fertilizers,12,Bahamas,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,37.67,Calculated data
Fertilizers,13,Bahrain,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,132.61,Calculated data
Fertilizers,13,Bahrain,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,32.61,Calculated data
Fertilizers,13,Bahrain,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,293.48,Calculated data
Fertilizers,16,Bangladesh,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,153.7,Calculated data
Fertilizers,16,Bangladesh,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,70.6,Calculated data
Fertilizers,16,Bangladesh,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,44.68,Calculated data
Fertilizers,14,Barbados,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,34.25,Calculated data
Fertilizers,14,Barbados,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,9.67,Calculated data
Fertilizers,14,Barbados,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,38.08,Calculated data
Fertilizers,57,Belarus,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,76.53,Calculated data
Fertilizers,57,Belarus,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,23.28,Calculated data
Fertilizers,57,Belarus,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,90.33,Calculated data
Fertilizers,255,Belgium,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,223,Calculated data
Fertilizers,255,Belgium,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,27,Calculated data
Fertilizers,255,Belgium,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,26.41,Calculated data
Fertilizers,23,Belize,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,160.12,Calculated data
Fertilizers,23,Belize,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,102.7,Calculated data
Fertilizers,23,Belize,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,43.25,Calculated data
Fertilizers,53,Benin,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,3.2,Calculated data
Fertilizers,53,Benin,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,3.14,Calculated data
Fertilizers,53,Benin,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,3.19,Calculated data
Fertilizers,18,Bhutan,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,8.76,Calculated data
Fertilizers,18,Bhutan,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2.82,Calculated data
Fertilizers,18,Bhutan,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,1.91,Calculated data
Fertilizers,19,Bolivia (Plurinational State of),Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,4.92,Calculated data
Fertilizers,19,Bolivia (Plurinational State of),Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2.83,Calculated data
Fertilizers,19,Bolivia (Plurinational State of),Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.86,Calculated data
Fertilizers,80,Bosnia and Herzegovina,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,98.89,Calculated data
Fertilizers,80,Bosnia and Herzegovina,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,8.33,Calculated data
Fertilizers,80,Bosnia and Herzegovina,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,8.96,Calculated data
Fertilizers,20,Botswana,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,52.87,Calculated data
Fertilizers,20,Botswana,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2.99,Calculated data
Fertilizers,20,Botswana,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,2.44,Calculated data
Fertilizers,21,Brazil,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,44.23,Calculated data
Fertilizers,21,Brazil,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,52.65,Calculated data
Fertilizers,21,Brazil,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,61.14,Calculated data
Fertilizers,26,Brunei Darussalam,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,22.09,Calculated data
Fertilizers,26,Brunei Darussalam,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,21.09,Calculated data
Fertilizers,26,Brunei Darussalam,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,21.27,Calculated data
Fertilizers,27,Bulgaria,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,83.26,Calculated data
Fertilizers,27,Bulgaria,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,16.04,Calculated data
Fertilizers,27,Bulgaria,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,8.61,Calculated data
Fertilizers,233,Burkina Faso,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,8.38,Calculated data
Fertilizers,233,Burkina Faso,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,3.69,Calculated data
Fertilizers,233,Burkina Faso,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,3.95,Calculated data
Fertilizers,29,Burundi,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,2.98,Calculated data
Fertilizers,29,Burundi,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2.5,Calculated data
Fertilizers,29,Burundi,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.97,Calculated data
Fertilizers,115,Cambodia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,20.92,Calculated data
Fertilizers,115,Cambodia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2.82,Calculated data
Fertilizers,115,Cambodia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,1.02,Calculated data
Fertilizers,32,Cameroon,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,5.49,Calculated data
Fertilizers,32,Cameroon,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,1.68,Calculated data
Fertilizers,32,Cameroon,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,3.74,Calculated data
Fertilizers,33,Canada,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,66,Calculated data
Fertilizers,33,Canada,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,24.88,Calculated data
Fertilizers,33,Canada,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,14.3,Calculated data
Fertilizers,37,Central African Republic,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,0.12,Calculated data
Fertilizers,37,Central African Republic,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,0.02,Calculated data
Fertilizers,37,Central African Republic,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.19,Calculated data
Fertilizers,40,Chile,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,185.85,Calculated data
Fertilizers,40,Chile,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,93.83,Calculated data
Fertilizers,40,Chile,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,28.75,Calculated data
Fertilizers,351,China,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,228.48,Calculated data
Fertilizers,351,China,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,116.4,Calculated data
Fertilizers,351,China,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,101.56,Calculated data
Fertilizers,96,"China, Hong Kong SAR",Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,NA,Not applicable
Fertilizers,96,"China, Hong Kong SAR",Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,46.59,Calculated data
Fertilizers,96,"China, Hong Kong SAR",Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,49.27,Calculated data
Fertilizers,41,"China, mainland",Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,228.65,Calculated data
Fertilizers,41,"China, mainland",Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,116.17,Calculated data
Fertilizers,41,"China, mainland",Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,101.3,Calculated data
Fertilizers,214,"China, Taiwan Province of",Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,191.91,Calculated data
Fertilizers,214,"China, Taiwan Province of",Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,154.72,Calculated data
Fertilizers,214,"China, Taiwan Province of",Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,145.79,Calculated data
Fertilizers,44,Colombia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,182.94,Calculated data
Fertilizers,44,Colombia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,85,Calculated data
Fertilizers,44,Colombia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,94.97,Calculated data
Fertilizers,46,Congo,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,0.71,Calculated data
Fertilizers,46,Congo,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,0.89,Calculated data
Fertilizers,46,Congo,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,1.14,Calculated data
Fertilizers,47,Cook Islands,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,16.67,Calculated data
Fertilizers,47,Cook Islands,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,13.33,Calculated data
Fertilizers,47,Cook Islands,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,14,Calculated data
Fertilizers,48,Costa Rica,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,156.86,Calculated data
Fertilizers,48,Costa Rica,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,41.23,Calculated data
Fertilizers,48,Costa Rica,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,92.19,Calculated data
Fertilizers,107,Cote d'Ivoire,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,5.6,Calculated data
Fertilizers,107,Cote d'Ivoire,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,6.01,Calculated data
Fertilizers,107,Cote d'Ivoire,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,8.09,Calculated data
Fertilizers,98,Croatia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,95.07,Calculated data
Fertilizers,98,Croatia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,32.13,Calculated data
Fertilizers,98,Croatia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,39.58,Calculated data
Fertilizers,49,Cuba,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,24.5,Calculated data
Fertilizers,49,Cuba,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,11.59,Calculated data
Fertilizers,49,Cuba,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,14.44,Calculated data
Fertilizers,50,Cyprus,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,63.36,Calculated data
Fertilizers,50,Cyprus,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,38.79,Calculated data
Fertilizers,50,Cyprus,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,21.89,Calculated data
Fertilizers,167,Czechia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,123.64,Calculated data
Fertilizers,167,Czechia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,15.13,Calculated data
Fertilizers,167,Czechia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,10.31,Calculated data
Fertilizers,250,Democratic Republic of the Congo,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,2.45,Calculated data
Fertilizers,250,Democratic Republic of the Congo,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,0.06,Calculated data
Fertilizers,250,Democratic Republic of the Congo,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.11,Calculated data
Fertilizers,54,Denmark,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,91.08,Calculated data
Fertilizers,54,Denmark,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,14.03,Calculated data
Fertilizers,54,Denmark,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,27.1,Calculated data
Fertilizers,55,Dominica,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,13,Calculated data
Fertilizers,55,Dominica,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,13.87,Calculated data
Fertilizers,55,Dominica,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,11.96,Calculated data
Fertilizers,56,Dominican Republic,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,43.28,Calculated data
Fertilizers,56,Dominican Republic,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,24.27,Calculated data
Fertilizers,56,Dominican Republic,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,3.79,Calculated data
Fertilizers,58,Ecuador,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,69.78,Calculated data
Fertilizers,58,Ecuador,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,18.41,Calculated data
Fertilizers,58,Ecuador,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,43.07,Calculated data
Fertilizers,59,Egypt,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,358.57,Calculated data
Fertilizers,59,Egypt,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,113.68,Calculated data
Fertilizers,59,Egypt,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,17.36,Calculated data
Fertilizers,60,El Salvador,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,66.55,Calculated data
Fertilizers,60,El Salvador,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,21.51,Calculated data
Fertilizers,60,El Salvador,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,16.75,Calculated data
Fertilizers,178,Eritrea,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,2.21,Calculated data
Fertilizers,178,Eritrea,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,0,Calculated data
Fertilizers,178,Eritrea,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0,Calculated data
Fertilizers,63,Estonia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,67.87,Calculated data
Fertilizers,63,Estonia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,18.68,Calculated data
Fertilizers,63,Estonia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,29.5,Calculated data
Fertilizers,238,Ethiopia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,9.7,Calculated data
Fertilizers,238,Ethiopia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,7.35,Calculated data
Fertilizers,238,Ethiopia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.13,Calculated data
Fertilizers,66,Fiji,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,23.32,Calculated data
