country,country name,residence type,service type,year,value,population,service level
ABW,Aruba,total,Drinking water,2015,97.87,101675,At least basic
ABW,Aruba,total,Drinking water,2015,0.17,178,Surface water
ABW,Aruba,total,Drinking water,2015,1.96,2036,Unimproved
AFG,Afghanistan,total,Drinking water,2015,62.98,20485296,At least basic
AFG,Afghanistan,total,Drinking water,2015,5.55,1806031,Limited service
AFG,Afghanistan,total,Drinking water,2015,15.16,4931789,Surface water
AFG,Afghanistan,total,Drinking water,2015,16.3,5303445,Unimproved
AGO,Angola,total,Drinking water,2015,41.01,10260478,At least basic
AGO,Angola,total,Drinking water,2015,15.82,3959197,Limited service
AGO,Angola,total,Drinking water,2015,24.48,6124231,Surface water
AGO,Angola,total,Drinking water,2015,18.7,4678069,Unimproved
AIA,Anguilla,total,Drinking water,2015,98.22,14353,At least basic
AIA,Anguilla,total,Drinking water,2015,0,0,Surface water
AIA,Anguilla,total,Drinking water,2015,1.78,261,Unimproved
ALB,Albania,total,Drinking water,2015,22.52,652458,Basic service
ALB,Albania,total,Drinking water,2015,4.74,137336,Limited service
ALB,Albania,total,Drinking water,2015,68.87,1994942,Safely managed service
ALB,Albania,total,Drinking water,2015,0,0,Surface water
ALB,Albania,total,Drinking water,2015,3.86,111943,Unimproved
AND,Andorra,total,Drinking water,2015,100,70473,At least basic
AND,Andorra,total,Drinking water,2015,0,0,Surface water
AND,Andorra,total,Drinking water,2015,0,0,Unimproved
ARE,United Arab Emirates,total,Drinking water,2015,99.63,9123152,At least basic
ARE,United Arab Emirates,total,Drinking water,2015,0.37,33678,Surface water
ARE,United Arab Emirates,total,Drinking water,2015,0,132,Unimproved
ARG,Argentina,total,Drinking water,2015,1.1,477535,Basic service
ARG,Argentina,total,Drinking water,2015,98.53,42777403,Safely managed service
ARG,Argentina,total,Drinking water,2015,0.1,43231,Surface water
ARG,Argentina,total,Drinking water,2015,0.27,118584,Unimproved
ARM,Armenia,total,Drinking water,2015,38.34,1157057,Basic service
ARM,Armenia,total,Drinking water,2015,0.82,24687,Limited service
ARM,Armenia,total,Drinking water,2015,60.58,1828174,Safely managed service
ARM,Armenia,total,Drinking water,2015,0.05,1465,Surface water
ARM,Armenia,total,Drinking water,2015,0.21,6329,Unimproved
ASM,American Samoa,total,Drinking water,2015,99.23,55111,At least basic
ASM,American Samoa,total,Drinking water,2015,0,0,Surface water
ASM,American Samoa,total,Drinking water,2015,0.77,427,Unimproved
ATG,Antigua and Barbuda,total,Drinking water,2015,96.74,88824,At least basic
ATG,Antigua and Barbuda,total,Drinking water,2015,0.09,87,Surface water
ATG,Antigua and Barbuda,total,Drinking water,2015,3.17,2907,Unimproved
AUS,Australia,total,Drinking water,2015,99.97,23961470,At least basic
AUS,Australia,total,Drinking water,2015,0,0,Surface water
AUS,Australia,total,Drinking water,2015,0.03,7502,Unimproved
AUT,Austria,total,Drinking water,2015,1.31,111941,Basic service
AUT,Austria,total,Drinking water,2015,98.69,8432645,Safely managed service
AUT,Austria,total,Drinking water,2015,0,0,Surface water
AUT,Austria,total,Drinking water,2015,0,0,Unimproved
AZE,Azerbaijan,total,Drinking water,2015,12.86,1254429,Basic service
AZE,Azerbaijan,total,Drinking water,2015,7.03,685732,Limited service
AZE,Azerbaijan,total,Drinking water,2015,71.52,6975761,Safely managed service
AZE,Azerbaijan,total,Drinking water,2015,2.45,239170,Surface water
AZE,Azerbaijan,total,Drinking water,2015,6.14,598875,Unimproved
BDI,Burundi,total,Drinking water,2015,55.93,6252831,At least basic
BDI,Burundi,total,Drinking water,2015,19.54,2183852,Limited service
BDI,Burundi,total,Drinking water,2015,7.08,791644,Surface water
BDI,Burundi,total,Drinking water,2015,17.45,1950594,Unimproved
BEL,Belgium,total,Drinking water,2015,1.63,184553,Basic service
BEL,Belgium,total,Drinking water,2015,98.37,11114639,Safely managed service
BEL,Belgium,total,Drinking water,2015,0,0,Surface water
BEL,Belgium,total,Drinking water,2015,0,0,Unimproved
BEN,Benin,total,Drinking water,2015,67.02,7291366,At least basic
BEN,Benin,total,Drinking water,2015,8.45,919121,Limited service
BEN,Benin,total,Drinking water,2015,3.42,372344,Surface water
BEN,Benin,total,Drinking water,2015,21.11,2296997,Unimproved
BFA,Burkina Faso,total,Drinking water,2015,53.86,9751225,At least basic
BFA,Burkina Faso,total,Drinking water,2015,21.9,3965504,Limited service
BFA,Burkina Faso,total,Drinking water,2015,2.2,397428,Surface water
BFA,Burkina Faso,total,Drinking water,2015,22.05,3991414,Unimproved
BGD,Bangladesh,total,Drinking water,2015,41.65,67060959,Basic service
BGD,Bangladesh,total,Drinking water,2015,1.17,1883112,Limited service
BGD,Bangladesh,total,Drinking water,2015,55.67,89631504,Safely managed service
BGD,Bangladesh,total,Drinking water,2015,0.97,1555657,Surface water
BGD,Bangladesh,total,Drinking water,2015,0.54,864416,Unimproved
BGR,Bulgaria,total,Drinking water,2015,2.7,193332,Basic service
BGR,Bulgaria,total,Drinking water,2015,96.55,6903235,Safely managed service
BGR,Bulgaria,total,Drinking water,2015,0.1,7313,Surface water
BGR,Bulgaria,total,Drinking water,2015,0.64,45908,Unimproved
BHR,Bahrain,total,Drinking water,2015,1.26,17353,Basic service
BHR,Bahrain,total,Drinking water,2015,98.74,1359884,Safely managed service
BHR,Bahrain,total,Drinking water,2015,0,0,Surface water
BHR,Bahrain,total,Drinking water,2015,0,0,Unimproved
BHS,Bahamas,total,Drinking water,2015,97.79,379451,At least basic
BHS,Bahamas,total,Drinking water,2015,0,0,Surface water
BHS,Bahamas,total,Drinking water,2015,2.21,8568,Unimproved
BIH,Bosnia and Herzegovina,total,Drinking water,2015,9.08,346165,Basic service
BIH,Bosnia and Herzegovina,total,Drinking water,2015,2.21,84143,Limited service
BIH,Bosnia and Herzegovina,total,Drinking water,2015,88.58,3375095,Safely managed service
BIH,Bosnia and Herzegovina,total,Drinking water,2015,0,0,Surface water
BIH,Bosnia and Herzegovina,total,Drinking water,2015,0.13,5014,Unimproved
BLR,Belarus,total,Drinking water,2015,3.58,339655,Basic service
BLR,Belarus,total,Drinking water,2015,1.71,162636,Limited service
BLR,Belarus,total,Drinking water,2015,94.43,8966782,Safely managed service
BLR,Belarus,total,Drinking water,2015,0,0,Surface water
BLR,Belarus,total,Drinking water,2015,0.28,26753,Unimproved
BLZ,Belize,total,Drinking water,2015,97.13,348971,At least basic
BLZ,Belize,total,Drinking water,2015,1.23,4429,Limited service
BLZ,Belize,total,Drinking water,2015,0.03,104,Surface water
BLZ,Belize,total,Drinking water,2015,1.61,5782,Unimproved
BMU,Bermuda,total,Drinking water,2015,99.9,61944,At least basic
BMU,Bermuda,total,Drinking water,2015,0,0,Surface water
BMU,Bermuda,total,Drinking water,2015,0.1,60,Unimproved
BOL,Bolivia (Plurinational State of),total,Drinking water,2015,92.88,9961280,At least basic
BOL,Bolivia (Plurinational State of),total,Drinking water,2015,0.32,33890,Limited service
BOL,Bolivia (Plurinational State of),total,Drinking water,2015,4.89,524096,Surface water
BOL,Bolivia (Plurinational State of),total,Drinking water,2015,1.92,205438,Unimproved
BRA,Brazil,total,Drinking water,2015,97.5,202647071,At least basic
BRA,Brazil,total,Drinking water,2015,0.4,828700,Limited service
BRA,Brazil,total,Drinking water,2015,1.3,2704639,Surface water
BRA,Brazil,total,Drinking water,2015,0.8,1667126,Unimproved
BRB,Barbados,total,Drinking water,2015,98.13,278903,At least basic
BRB,Barbados,total,Drinking water,2015,0.27,758,Limited service
BRB,Barbados,total,Drinking water,2015,0,0,Surface water
BRB,Barbados,total,Drinking water,2015,1.6,4554,Unimproved
BRN,Brunei Darussalam,total,Drinking water,2015,99.51,421128,At least basic
BRN,Brunei Darussalam,total,Drinking water,2015,0.17,713,Surface water
BRN,Brunei Darussalam,total,Drinking water,2015,0.32,1347,Unimproved
BTN,Bhutan,total,Drinking water,2015,63.4,491272,Basic service
BTN,Bhutan,total,Drinking water,2015,2.06,15951,Limited service
BTN,Bhutan,total,Drinking water,2015,34.15,264642,Safely managed service
BTN,Bhutan,total,Drinking water,2015,0,0,Surface water
BTN,Bhutan,total,Drinking water,2015,0.38,2965,Unimproved
BWA,Botswana,total,Drinking water,2015,79.17,1791300,At least basic
BWA,Botswana,total,Drinking water,2015,17.64,399010,Limited service
BWA,Botswana,total,Drinking water,2015,2.2,49762,Surface water
BWA,Botswana,total,Drinking water,2015,0.99,22414,Unimproved
CAF,Central African Republic,total,Drinking water,2015,54.14,2653198,At least basic
CAF,Central African Republic,total,Drinking water,2015,13.54,663513,Limited service
CAF,Central African Republic,total,Drinking water,2015,3.25,159211,Surface water
CAF,Central African Republic,total,Drinking water,2015,29.07,1424352,Unimproved
CAN,Canada,total,Drinking water,2015,98.9,35544585,At least basic
CAN,Canada,total,Drinking water,2015,0,0,Surface water
CAN,Canada,total,Drinking water,2015,1.1,395339,Unimproved
CHE,Switzerland,total,Drinking water,2015,4.54,377141,Basic service
CHE,Switzerland,total,Drinking water,2015,95.46,7921522,Safely managed service
CHE,Switzerland,total,Drinking water,2015,0,0,Surface water
CHE,Switzerland,total,Drinking water,2015,0,0,Unimproved
CHI,Channel Islands,total,Drinking water,2015,2.18,3560,Basic service
CHI,Channel Islands,total,Drinking water,2015,91.98,150556,Safely managed service
CHI,Channel Islands,total,Drinking water,2015,0,0,Surface water
CHI,Channel Islands,total,Drinking water,2015,5.85,9576,Unimproved
CHL,Chile,total,Drinking water,2015,1.85,331305,Basic service
CHL,Chile,total,Drinking water,2015,98.15,17616835,Safely managed service
CHL,Chile,total,Drinking water,2015,0,0,Surface water
CHL,Chile,total,Drinking water,2015,0,0,Unimproved
CHN,China,total,Drinking water,2015,95.82,1318503048,At least basic
CHN,China,total,Drinking water,2015,0.9,12429354,Limited service
CHN,China,total,Drinking water,2015,0.46,6354093,Surface water
CHN,China,total,Drinking water,2015,2.82,38762529,Unimproved
CIV,Côte d'Ivoire,total,Drinking water,2015,27.26,6187487,Basic service
CIV,Côte d'Ivoire,total,Drinking water,2015,7.15,1622056,Limited service
CIV,Côte d'Ivoire,total,Drinking water,2015,45.8,10397683,Safely managed service
CIV,Côte d'Ivoire,total,Drinking water,2015,5.14,1165781,Surface water
CIV,Côte d'Ivoire,total,Drinking water,2015,14.66,3328548,Unimproved
CMR,Cameroon,total,Drinking water,2015,65.28,15239073,At least basic
CMR,Cameroon,total,Drinking water,2015,10.23,2386996,Limited service
CMR,Cameroon,total,Drinking water,2015,7.56,1763800,Surface water
CMR,Cameroon,total,Drinking water,2015,16.94,3954311,Unimproved
COD,Democratic Republic of the Congo,total,Drinking water,2015,41.84,32326886,At least basic
COD,Democratic Republic of the Congo,total,Drinking water,2015,12.28,9490744,Limited service
COD,Democratic Republic of the Congo,total,Drinking water,2015,9.82,7587035,Surface water
COD,Democratic Republic of the Congo,total,Drinking water,2015,36.06,27862151,Unimproved
COG,Congo,total,Drinking water,2015,31.34,1447958,Basic service
COG,Congo,total,Drinking water,2015,13.05,602906,Limited service
COG,Congo,total,Drinking water,2015,37,1709597,Safely managed service
COG,Congo,total,Drinking water,2015,7.54,348315,Surface water
COG,Congo,total,Drinking water,2015,11.07,511555,Unimproved
COK,Cook Islands,total,Drinking water,2015,99.88,20808,At least basic
COK,Cook Islands,total,Drinking water,2015,0,0,Surface water
COK,Cook Islands,total,Drinking water,2015,0.12,25,Unimproved
COL,Colombia,total,Drinking water,2015,25.4,12249805,Basic service
COL,Colombia,total,Drinking water,2015,0.15,73408,Limited service
COL,Colombia,total,Drinking water,2015,71.12,34301519,Safely managed service
COL,Colombia,total,Drinking water,2015,2.15,1039188,Surface water
COL,Colombia,total,Drinking water,2015,1.17,564784,Unimproved
COM,Comoros,total,Drinking water,2015,83.7,659962,At least basic
COM,Comoros,total,Drinking water,2015,6.17,48628,Limited service
COM,Comoros,total,Drinking water,2015,0.6,4701,Surface water
COM,Comoros,total,Drinking water,2015,9.54,75183,Unimproved
CPV,Cabo Verde,total,Drinking water,2015,86.46,450023,At least basic
CPV,Cabo Verde,total,Drinking water,2015,10.04,52284,Limited service
CPV,Cabo Verde,total,Drinking water,2015,0.12,630,Surface water
CPV,Cabo Verde,total,Drinking water,2015,3.37,17565,Unimproved
CRI,Costa Rica,total,Drinking water,2015,9.9,475813,Basic service
CRI,Costa Rica,total,Drinking water,2015,0.3,14529,Limited service
CRI,Costa Rica,total,Drinking water,2015,89.8,4317509,Safely managed service
CRI,Costa Rica,total,Drinking water,2015,0,0,Surface water
CRI,Costa Rica,total,Drinking water,2015,0,0,Unimproved
CUB,Cuba,total,Drinking water,2015,95.18,10840073,At least basic
CUB,Cuba,total,Drinking water,2015,2.08,237172,Limited service
CUB,Cuba,total,Drinking water,2015,0.42,48049,Surface water
CUB,Cuba,total,Drinking water,2015,2.32,264267,Unimproved
CUW,Curaçao,total,Drinking water,2015,99.37,156217,At least basic
CUW,Curaçao,total,Drinking water,2015,0,0,Surface water
CUW,Curaçao,total,Drinking water,2015,0.63,986,Unimproved
CYM,Cayman Islands,total,Drinking water,2015,96.13,57643,At least basic
CYM,Cayman Islands,total,Drinking water,2015,0,0,Surface water
CYM,Cayman Islands,total,Drinking water,2015,3.88,2324,Unimproved
CYP,Cyprus,total,Drinking water,2015,0.4,4631,Basic service
CYP,Cyprus,total,Drinking water,2015,99.6,1160669,Safely managed service
CYP,Cyprus,total,Drinking water,2015,0,0,Surface water
CYP,Cyprus,total,Drinking water,2015,0,0,Unimproved
CZE,Czechia,total,Drinking water,2015,2.3,242444,Basic service
CZE,Czechia,total,Drinking water,2015,97.58,10288057,Safely managed service
CZE,Czechia,total,Drinking water,2015,0.05,5387,Surface water
CZE,Czechia,total,Drinking water,2015,0.07,7299,Unimproved
DEU,Germany,total,Drinking water,2015,0.78,633065,Basic service
DEU,Germany,total,Drinking water,2015,99.22,80055479,Safely managed service
DEU,Germany,total,Drinking water,2015,0,0,Surface water
DEU,Germany,total,Drinking water,2015,0,0,Unimproved
DJI,Djibouti,total,Drinking water,2015,76.92,682965,At least basic
DJI,Djibouti,total,Drinking water,2015,15.07,133771,Limited service
DJI,Djibouti,total,Drinking water,2015,1.82,16167,Surface water
DJI,Djibouti,total,Drinking water,2015,6.19,54958,Unimproved
DMA,Dominica,total,Drinking water,2015,96.5,70136,At least basic
DMA,Dominica,total,Drinking water,2015,0,0,Surface water
DMA,Dominica,total,Drinking water,2015,3.5,2544,Unimproved
DNK,Denmark,total,Drinking water,2015,3.26,185064,Basic service
DNK,Denmark,total,Drinking water,2015,96.74,5484017,Safely managed service
DNK,Denmark,total,Drinking water,2015,0,0,Surface water
DNK,Denmark,total,Drinking water,2015,0,0,Unimproved
DOM,Dominican Republic,total,Drinking water,2015,94.48,9946916,At least basic
DOM,Dominican Republic,total,Drinking water,2015,2.24,235504,Limited service
DOM,Dominican Republic,total,Drinking water,2015,1.34,141244,Surface water
DOM,Dominican Republic,total,Drinking water,2015,1.94,204727,Unimproved
DZA,Algeria,total,Drinking water,2015,93.47,37074879,At least basic
DZA,Algeria,total,Drinking water,2015,5.21,2065075,Limited service
DZA,Algeria,total,Drinking water,2015,0.19,77181,Surface water
DZA,Algeria,total,Drinking water,2015,1.13,449385,Unimproved
ECU,Ecuador,total,Drinking water,2015,18.25,2946209,Basic service
ECU,Ecuador,total,Drinking water,2015,0.49,78554,Limited service
ECU,Ecuador,total,Drinking water,2015,74.36,12005075,Safely managed service
ECU,Ecuador,total,Drinking water,2015,4.13,666157,Surface water
ECU,Ecuador,total,Drinking water,2015,2.78,448368,Unimproved
EGY,Egypt,total,Drinking water,2015,98.36,90005067,At least basic
EGY,Egypt,total,Drinking water,2015,0.47,432751,Limited service
EGY,Egypt,total,Drinking water,2015,0,384,Surface water
EGY,Egypt,total,Drinking water,2015,1.17,1069886,Unimproved
ERI,Eritrea,total,Drinking water,2015,19.29,1008458,At least basic
ERI,Eritrea,total,Drinking water,2015,43.01,2248302,Limited service
ERI,Eritrea,total,Drinking water,2015,21.49,1123472,Surface water
ERI,Eritrea,total,Drinking water,2015,16.21,847559,Unimproved
ESP,Spain,total,Drinking water,2015,1.77,814407,Basic service
ESP,Spain,total,Drinking water,2015,98.18,45281193,Safely managed service
ESP,Spain,total,Drinking water,2015,0,0,Surface water
ESP,Spain,total,Drinking water,2015,0.06,26100,Unimproved
EST,Estonia,total,Drinking water,2015,17.92,235262,Basic service
EST,Estonia,total,Drinking water,2015,81.69,1072236,Safely managed service
EST,Estonia,total,Drinking water,2015,0,0,Surface water
EST,Estonia,total,Drinking water,2015,0.39,5060,Unimproved
ETH,Ethiopia,total,Drinking water,2015,28.59,28414662,Basic service
ETH,Ethiopia,total,Drinking water,2015,24.6,24450508,Limited service
ETH,Ethiopia,total,Drinking water,2015,10.54,10471236,Safely managed service
ETH,Ethiopia,total,Drinking water,2015,11.58,11513888,Surface water
ETH,Ethiopia,total,Drinking water,2015,24.69,24540458,Unimproved
FIN,Finland,total,Drinking water,2015,3.15,173304,Basic service
FIN,Finland,total,Drinking water,2015,96.85,5330153,Safely managed service
FIN,Finland,total,Drinking water,2015,0,0,Surface water
FIN,Finland,total,Drinking water,2015,0,0,Unimproved
FJI,Fiji,total,Drinking water,2015,93.71,836051,At least basic
FJI,Fiji,total,Drinking water,2015,2.08,18555,Surface water
FJI,Fiji,total,Drinking water,2015,4.21,37539,Unimproved
FLK,Falkland Islands (Malvinas),total,Drinking water,2015,94.82,2752,At least basic
FLK,Falkland Islands (Malvinas),total,Drinking water,2015,0,0,Surface water
FLK,Falkland Islands (Malvinas),total,Drinking water,2015,5.18,151,Unimproved
FRA,France,total,Drinking water,2015,6.69,4306348,Basic service
FRA,France,total,Drinking water,2015,93.31,60088996,Safely managed service
FRA,France,total,Drinking water,2015,0,0,Surface water
FRA,France,total,Drinking water,2015,0,0,Unimproved
FRO,Faroe Islands,total,Drinking water,2015,100,48199,At least basic
FRO,Faroe Islands,total,Drinking water,2015,0,0,Surface water
FRO,Faroe Islands,total,Drinking water,2015,0,0,Unimproved
FSM,Micronesia (Federated States of),total,Drinking water,2015,88.35,92293,At least basic
FSM,Micronesia (Federated States of),total,Drinking water,2015,0,0,Surface water
FSM,Micronesia (Federated States of),total,Drinking water,2015,11.65,12167,Unimproved
GAB,Gabon,total,Drinking water,2015,87.54,1510337,At least basic
GAB,Gabon,total,Drinking water,2015,5.72,98721,Limited service
GAB,Gabon,total,Drinking water,2015,3.73,64274,Surface water
GAB,Gabon,total,Drinking water,2015,3.01,51961,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2015,4.35,2815138,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2015,95.65,61900670,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2015,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2015,0,0,Unimproved
GEO,Georgia,total,Drinking water,2015,20.29,811684,Basic service
GEO,Georgia,total,Drinking water,2015,4.76,190486,Limited service
GEO,Georgia,total,Drinking water,2015,72.97,2918682,Safely managed service
GEO,Georgia,total,Drinking water,2015,0.04,1684,Surface water
GEO,Georgia,total,Drinking water,2015,1.93,77276,Unimproved
GHA,Ghana,total,Drinking water,2015,50.93,13961060,Basic service
GHA,Ghana,total,Drinking water,2015,10.66,2921704,Limited service
GHA,Ghana,total,Drinking water,2015,26.86,7363645,Safely managed service
GHA,Ghana,total,Drinking water,2015,6.28,1720014,Surface water
GHA,Ghana,total,Drinking water,2015,5.27,1443469,Unimproved
GIB,Gibraltar,total,Drinking water,2015,0.57,182,Basic service
GIB,Gibraltar,total,Drinking water,2015,99.05,31912,Safely managed service
GIB,Gibraltar,total,Drinking water,2015,0,0,Surface water
GIB,Gibraltar,total,Drinking water,2015,0.38,123,Unimproved
GIN,Guinea,total,Drinking water,2015,67.37,8494728,At least basic
GIN,Guinea,total,Drinking water,2015,11.19,1411502,Limited service
GIN,Guinea,total,Drinking water,2015,11.49,1449226,Surface water
GIN,Guinea,total,Drinking water,2015,9.94,1253134,Unimproved
GLP,Guadeloupe,total,Drinking water,2015,99.62,466651,At least basic
GLP,Guadeloupe,total,Drinking water,2015,0,0,Surface water
GLP,Guadeloupe,total,Drinking water,2015,0.38,1799,Unimproved
